,modelo,ano_modelo,marca,modelo_raw
194,ONIX HATCH LTZ 1.0 12V TB FLEX 5P AUT.,2020.0,GM - CHEVROLET,ONIX HATCH LTZ 1.0 12V TB FLEX 5P AUT.
198,ETIOS X 1.3 FLEX 16V 5P MEC.,2018.0,TOYOTA,ETIOS X 1.3 FLEX 16V 5P MEC.
199,SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,2019.0,GM - CHEVROLET,SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.
202,COROLLA CROSS XR 2.0 16V FLEX AUT.,2022.0,TOYOTA,COROLLA CROSS XR 2.0 16V FLEX AUT.
205,ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,2018.0,GM - CHEVROLET,ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.
206,POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,2020.0,VW - VOLKSWAGEN,POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.
210,X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.,2021.0,BMW,BMW X1 SDRIVE 20I 2.0/2.0 TB ACTI.FLEX AUT.
215,CIVIC SEDAN EX 1.7 16V 130CV AUT. 4P,2018.0,HONDA,CIVIC SEDAN EX 1.7 16V 130CV AUT. 4P
216,ONIX HATCH 1.0 12V FLEX 5P MEC.,2017.0,GM - CHEVROLET,ONIX HATCH 1.0 12V FLEX 5P MEC.
217,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,2019.0,FIAT,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS
218,STRADA FREEDOM 1.3 FLEX 8V CS PLUS,2022.0,FIAT,STRADA FREEDOM 1.3 FLEX 8V CS PLUS
219,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,2020.0,FIAT,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS
221,GOL 1.6 MI I MOTION TOTAL FLEX 8V 3P,2021.0,VW - VOLKSWAGEN,GOL 1.6 MI I MOTION TOTAL FLEX 8V 3P
224,HR-V EXL 1.8 FLEXONE 16V 5P AUT.,2021.0,HONDA,HR-V EXL 1.8 FLEXONE 16V 5P AUT.
225,ECOSPORT TITNAT 2.0,2018.0,FORD,FORD/ECOSPORT TITNAT 2.0
226,KWID ZEN 1.0 FLEX 12V 5P MEC.,2022.0,RENAULT,KWID ZEN 1.0 FLEX 12V 5P MEC.
233,WR-V EXL 1.5 FLEXONE 16V 5P AUT.,2018.0,HONDA,WR-V EXL 1.5 FLEXONE 16V 5P AUT.
234,ECOSPORT TITNAT 2.0,2019.0,FORD,FORD/ECOSPORT TITNAT 2.0
236,HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,2018.0,HYUNDAI,HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P
237,LOGAN EXPRESSION FLEX 1.6 16V 4P,2019.0,RENAULT,LOGAN EXPRESSION FLEX 1.6 16V 4P
241,KICKS SV CVT,2018.0,NISSAN,NISSAN/KICKS SV CVT
245,YARIS XLS SEDAN 1.5 FLEX 16V 4P AUT.,2019.0,TOYOTA,YARIS XLS SEDAN 1.5 FLEX 16V 4P AUT.
247,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P,2019.0,GM - CHEVROLET,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P
248,GOL 1.0 FLEX 12V 5P,2021.0,VW - VOLKSWAGEN,GOL 1.0 FLEX 12V 5P
249,COROLLA XEI 2.0 FLEX 16V AUT.,2019.0,TOYOTA,COROLLA XEI 2.0 FLEX 16V AUT.
251,KA FSL 1.0 HA C,2020.0,FORD,FORD/KA FSL 1.0 HA C
254,COROLLA XRS 2.0 FLEX 16V AUT.,2018.0,TOYOTA,COROLLA XRS 2.0 FLEX 16V AUT.
256,IX35 GL 2.0 16V 2WD FLEX AUT.,2020.0,HYUNDAI,IX35 GL 2.0 16V 2WD FLEX AUT.
260,LOGAN LIFE FLEX 1.0 12V 4P MEC.,2020.0,RENAULT,LOGAN LIFE FLEX 1.0 12V 4P MEC.
262,KWID INTENSE 1.0 FLEX 12V 5P MEC.,2018.0,RENAULT,KWID INTENSE 1.0 FLEX 12V 5P MEC.
265,POLO COMFORTLINE TSI 1.0 FLEX 12V AUT.,2021.0,VW - VOLKSWAGEN,POLO COMFORTLINE TSI 1.0 FLEX 12V AUT.
266,PRISMA SED. ADVANT. 1.4 8V F.POWER AUT.,2019.0,GM - CHEVROLET,PRISMA SED. ADVANT. 1.4 8V F.POWER AUT.
267,ONIX HATCH LT 1.0 12V TB FLEX 5P AUT.,2020.0,GM - CHEVROLET,ONIX HATCH LT 1.0 12V TB FLEX 5P AUT.
270,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC.,2019.0,GM - CHEVROLET,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC
276,FRONTIER XE X4,2021.0,NISSAN,I/NISSAN FRONTIER XE X4
277,RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT.,2018.0,JEEP,RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT
280,ECOSPORT FSL 1.5,2018.0,FORD,FORD/ECOSPORT FSL 1.5
281,RAV4 2.5 S 4X4 HYBRID AUT.,2020.0,TOYOTA,RAV4 2.5 S 4X4 HYBRID AUT.
282,KICKS SV CVT,2019.0,NISSAN,NISSAN/KICKS SV CVT
283,SPIN LS 1.8 8V ECONO.FLEX 5P MEC.,2019.0,GM - CHEVROLET,SPIN LS 1.8 8V ECONO.FLEX 5P MEC.
287,DUSTER 16 D CVT,2019.0,RENAULT,RENAULT/DUSTER 16 D CVT
289,LOGAN ZEN FLEX 1.6 16V 4P MEC.,2020.0,RENAULT,LOGAN ZEN FLEX 1.6 16V 4P MEC.
290,T-CROSS 1.0 TSI FLEX 12V 5P AUT.,2021.0,VW - VOLKSWAGEN,T-CROSS 1.0 TSI FLEX 12V 5P AUT.
291,PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P,2018.0,GM - CHEVROLET,PRISMA SED. JOY/ LS 1.0 8V FLEXPOWER 4P
292,COROLLA ALTIS 1.8 16V AUT. (HÍBRIDO),2019.0,TOYOTA,COROLLA ALTIS 1.8 16V AUT. (HÍBRIDO)
295,HR-V LX 1.8 FLEXONE 16V 5P AUT.,2019.0,HONDA,HR-V LX 1.8 FLEXONE 16V 5P AUT.
296,AUDA3 LM 150CV,2020.0,AUDI,AUDI/A3 LM 150CV
297,RENEGADE SPORT 1.8 4X2 FLEX 16V MEC.,2018.0,JEEP,RENEGADE SPORT 1.8 4X2 FLEX 16V MEC.
300,SIENA 1.4,2021.0,FIAT,FIAT/SIENA 1.4
304,ONIX HATCH PREM. 1.0 12V TB FLEX 5P AUT.,2018.0,GM - CHEVROLET,ONIX HATCH PREM. 1.0 12V TB FLEX 5P AUT.
309,Q5 2.0TFSI,2021.0,AUDI,I/AUDI Q5 2.0TFSI
312,A200 SD HI,2020.0,M.BENZ,I/M.BENZ A200 SD HI
315,S10 HC DD4A,2021.0,GM - CHEVROLET,CHEVROLET/S10 HC DD4A
316,KA SE 1.0 SD C,2020.0,FORD,FORD/KA SE 1.0 SD C
317,RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT.,2017.0,JEEP,RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT
320,KA SE 1.5 HA C,2019.0,FORD,FORD/KA SE 1.5 HA C
321,SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,2018.0,GM - CHEVROLET,SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.
322,DUSTER OROCH EXPRESSION 1.6 FLEX 16V MEC.,2021.0,RENAULT,DUSTER OROCH EXPRESSION 1.6 FLEX 16V MEC
323,MOBI WAY 1.0 FIRE FLEX 5P.,2019.0,FIAT,MOBI WAY 1.0 FIRE FLEX 5P.
324,RENEGADE SPORT 1.8 4X2 FLEX 16V MEC.,2019.0,JEEP,RENEGADE SPORT 1.8 4X2 FLEX 16V MEC.
325,WR-V EX 1.5 FLEXONE 16V 5P AUT.,2018.0,HONDA,WR-V EX 1.5 FLEXONE 16V 5P AUT.
326,ARGO DRIVE 1.0 6V FLEX,2019.0,FIAT,ARGO DRIVE 1.0 6V FLEX
327,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,2018.0,FIAT,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS
329,COROLLA CROSS XRX 1.8 16V AUT.(HÍBRIDO),2022.0,TOYOTA,COROLLA CROSS XRX 1.8 16V AUT.(HÍBRIDO)
330,COMPASS LONGITUDE D,2019.0,JEEP,JEEP/COMPASS LONGITUDE D
331,AMAROK V6 EXTR AC4,2019.0,VW - VOLKSWAGEN,I/VW AMAROK V6 EXTR AC4
339,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,2020.0,FIAT,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P
